-------------START AVALIABLE PAYLOADS------------

Framework Payloads (1706 total) [--payload <value>]
===================================================

    Name                                                               Description
    cmd/windows/http/x64/custom/reverse_winhttps                       Fetch and execute an x64 payload from an HTTP server. Custom shellcode stage. Tunnel communication over HTTPS (Windows x64 winhttp)
    cmd/windows/http/x64/download_exec                                 Fetch and execute an x64 payload from an HTTP server.
    cmd/windows/http/x64/encrypted_shell/reverse_tcp                   Fetch and execute an x64 payload from an HTTP server. Spawn a piped command shell (staged). Connect to MSF and read in stage
    cmd/windows/http/x64/encrypted_shell_reverse_tcp                   Fetch and execute an x64 payload from an HTTP server. Connect back to attacker and spawn an encrypted command shell
    cmd/windows/http/x64/exec                                          Fetch and execute an x64 payload from an HTTP server. Execute an arbitrary command (Windows x64)
    cmd/windows/http/x64/loadlibrary                                   Fetch and execute an x64 payload from an HTTP server. Load an arbitrary x64 library path
    cmd/windows/http/x64/messagebox                                    Fetch and execute an x64 payload from an HTTP server. Spawn a dialog via MessageBox using a customizable title, text & icon
    cmd/windows/http/x64/meterpreter/bind_ipv6_tcp                     Fetch and execute an x64 payload from an HTTP server. Listen for an IPv6 connection (Windows x64)
    cmd/windows/http/x64/meterpreter/bind_ipv6_tcp_uuid                Fetch and execute an x64 payload from an HTTP server. Listen for an IPv6 connection with UUID Support (Windows x64)
    cmd/windows/http/x64/meterpreter/bind_named_pipe                   Fetch and execute an x64 payload from an HTTP server. Listen for a pipe connection (Windows x64)
    cmd/windows/http/x64/meterpreter/bind_tcp                          Fetch and execute an x64 payload from an HTTP server. Listen for a connection (Windows x64)
    cmd/windows/http/x64/meterpreter/bind_tcp_rc4                      Fetch and execute an x64 payload from an HTTP server. Connect back to the attacker
    cmd/windows/http/x64/meterpreter/bind_tcp_uuid                     Fetch and execute an x64 payload from an HTTP server. Listen for a connection with UUID Support (Windows x64)
    cmd/windows/http/x64/meterpreter/reverse_http                      Fetch and execute an x64 payload from an HTTP server. Tunnel communication over HTTP (Windows x64 wininet)
    cmd/windows/http/x64/meterpreter/reverse_https                     Fetch and execute an x64 payload from an HTTP server. Tunnel communication over HTTP (Windows x64 wininet)
    cmd/windows/http/x64/meterpreter/reverse_named_pipe                Fetch and execute an x64 payload from an HTTP server. Connect back to the attacker via a named pipe pivot
    cmd/windows/http/x64/meterpreter/reverse_tcp                       Fetch and execute an x64 payload from an HTTP server. Connect back to the attacker (Windows x64)
    cmd/windows/http/x64/meterpreter/reverse_tcp_rc4                   Fetch and execute an x64 payload from an HTTP server. Connect back to the attacker
    cmd/windows/http/x64/meterpreter/reverse_tcp_uuid                  Fetch and execute an x64 payload from an HTTP server. Connect back to the attacker with UUID Support (Windows x64)
    cmd/windows/http/x64/meterpreter/reverse_winhttp                   Fetch and execute an x64 payload from an HTTP server. Tunnel communication over HTTP (Windows x64 winhttp)
    cmd/windows/http/x64/meterpreter/reverse_winhttps                  Fetch and execute an x64 payload from an HTTP server. Tunnel communication over HTTPS (Windows x64 winhttp)
    cmd/windows/http/x64/meterpreter_bind_named_pipe                   Fetch and execute an x64 payload from an HTTP server. Connect to victim and spawn a Meterpreter shell. Requires Windows XP SP2 or newer.
    cmd/windows/http/x64/meterpreter_bind_tcp                          Fetch and execute an x64 payload from an HTTP server. Connect to victim and spawn a Meterpreter shell. Requires Windows XP SP2 or newer.
    cmd/windows/http/x64/meterpreter_reverse_http                      Fetch and execute an x64 payload from an HTTP server. Connect back to attacker and spawn a Meterpreter shell. Requires Windows XP SP2 or newer.
    cmd/windows/http/x64/meterpreter_reverse_https                     Fetch and execute an x64 payload from an HTTP server. Connect back to attacker and spawn a Meterpreter shell. Requires Windows XP SP2 or newer.
    cmd/windows/http/x64/meterpreter_reverse_ipv6_tcp                  Fetch and execute an x64 payload from an HTTP server. Connect back to attacker and spawn a Meterpreter shell. Requires Windows XP SP2 or newer.
    cmd/windows/http/x64/meterpreter_reverse_tcp                       Fetch and execute an x64 payload from an HTTP server. Connect back to attacker and spawn a Meterpreter shell. Requires Windows XP SP2 or newer.
    cmd/windows/http/x64/peinject/bind_ipv6_tcp                        Fetch and execute an x64 payload from an HTTP server. Listen for an IPv6 connection (Windows x64)
    cmd/windows/http/x64/peinject/bind_ipv6_tcp_uuid                   Fetch and execute an x64 payload from an HTTP server. Listen for an IPv6 connection with UUID Support (Windows x64)
    cmd/windows/http/x64/peinject/bind_named_pipe                      Fetch and execute an x64 payload from an HTTP server. Listen for a pipe connection (Windows x64)
    cmd/windows/http/x64/peinject/bind_tcp                             Fetch and execute an x64 payload from an HTTP server. Listen for a connection (Windows x64)
    cmd/windows/http/x64/peinject/bind_tcp_rc4                         Fetch and execute an x64 payload from an HTTP server. Connect back to the attacker
    cmd/windows/http/x64/peinject/bind_tcp_uuid                        Fetch and execute an x64 payload from an HTTP server. Listen for a connection with UUID Support (Windows x64)
    cmd/windows/http/x64/peinject/reverse_named_pipe                   Fetch and execute an x64 payload from an HTTP server. Connect back to the attacker via a named pipe pivot
    cmd/windows/http/x64/peinject/reverse_tcp                          Fetch and execute an x64 payload from an HTTP server. Connect back to the attacker (Windows x64)
    cmd/windows/http/x64/peinject/reverse_tcp_rc4                      Fetch and execute an x64 payload from an HTTP server. Connect back to the attacker
